Recency,Frequency,MonetaryValue,rfm_segment
23,62,1104.23,Top Loyal Customer
17,198,3460.9900000000002,Champion
24,19,291.88,Loyal Customer
27,71,2043.7199999999998,Top Loyal Customer
26,434,2838.56,Champion
259,2,590.0,Lost Customer
166,17,356.97999999999996,Lost Customer
25,53,1007.35,Top Loyal Customer
18,65,1737.8200000000002,Top Loyal Customer
7,394,9537.92,Champion
29,17,183.44,Loyal Customer
39,27,1445.0,Top Loyal Customer
183,10,143.25,Lost Customer
58,41,674.68,Top Customer Needed Attention
100,18,297.95,Customer Needed Attention
11,98,1071.91,Top Recent Customer
2,306,5656.75,Champion
99,10,165.0,Customer Needed Attention
1,254,2501.84,Champion
61,22,417.54,Customer Needed Attention
236,62,226.84,Lost Customer
191,86,1431.78,Top Lost Customer
179,61,1092.77,Top Lost Customer
38,81,1441.53,Top Loyal Customer
198,16,291.0,Lost Customer
46,112,1776.81,Champion
232,11,184.64,Lost Customer
66,10,140.34,Customer Needed Attention
241,8,313.8,Lost Customer
233,23,454.24,Lost Customer
78,69,1122.41,Top Customer Needed Attention
58,34,575.4,Customer Needed Attention
17,427,8910.61,Champion
105,14,449.52,Customer Needed Attention
52,86,1215.82,Top Customer Needed Attention
136,50,1269.84,Top Customer Needed Attention
275,8,618.63,Lost Customer
312,18,316.26000000000005,Lost Customer
8,52,1990.1200000000001,Top Recent Customer
11,36,617.93,Recent Customer
283,20,321.05,Lost Customer
18,45,1146.96,Top Loyal Customer
23,67,1136.77,Top Loyal Customer
243,53,1310.47,Top Lost Customer
17,18,292.0,Recent Customer
71,17,216.85,Customer Needed Attention
64,22,295.93,Customer Needed Attention
68,227,4282.88,Champion
312,29,452.82,Lost Customer
3,162,2479.16,Champion
244,12,110.97,Lost Customer
9,44,979.72,Top Recent Customer
1,117,1785.16,Champion
261,15,251.21,Lost Customer
127,10,205.1,Customer Needed Attention
74,4,152.20000000000002,Customer Needed Attention
73,59,891.12,Top Customer Needed Attention
21,44,1389.41,Top Loyal Customer
60,143,2109.07,Champion
86,36,627.16,Customer Needed Attention
50,9,110.80000000000001,Loyal Customer
59,95,3487.75,Top Customer Needed Attention
1,418,1071.73,Top Recent Customer
30,5,125.80000000000001,Loyal Customer
33,177,3755.38,Champion
41,27,680.1800000000001,Top Loyal Customer
15,6,628.78,Recent Customer
34,218,2218.61,Champion
79,15,307.76,Customer Needed Attention
205,22,483.8,Lost Customer
34,66,210.31,Loyal Customer
183,75,269.09,Lost Customer
2,342,5613.08,Champion
1,178,3444.39,Champion
43,25,1280.85,Top Loyal Customer
86,38,605.84,Customer Needed Attention
40,78,276.06,Loyal Customer
12,97,621.09,Recent Customer
96,123,678.16,Top Customer Needed Attention
26,52,916.12,Top Loyal Customer
319,4,91.80000000000001,Lost Customer
66,121,3539.53,Champion
74,135,4098.88,Champion
28,34,584.06,Loyal Customer
6,169,594.52,Recent Customer
7,32,171.42000000000002,Recent Customer
216,14,141.85999999999999,Lost Customer
82,82,1799.33,Top Customer Needed Attention
84,49,777.53,Top Customer Needed Attention
144,83,623.3900000000001,Lost Customer
19,38,240.22,Loyal Customer
41,169,856.84,Top Loyal Customer
173,43,187.05,Lost Customer
17,79,338.62,Recent Customer
243,27,239.49,Lost Customer
13,340,2088.94,Champion
206,33,1384.25,Top Lost Customer
50,25,290.25,Loyal Customer
23,46,732.0699999999999,Top Loyal Customer
10,130,6703.3,Champion
25,85,1658.3,Top Loyal Customer
15,23,467.04,Recent Customer
309,10,118.0,Lost Customer
156,53,781.03,Top Lost Customer
307,24,142.4,Lost Customer
32,11,347.0,Loyal Customer
16,180,2445.12,Champion
15,21,379.65,Recent Customer
11,89,1976.12,Top Recent Customer
65,58,1117.13,Top Customer Needed Attention
36,16,247.95999999999998,Loyal Customer
108,128,1965.0800000000002,Champion
53,26,396.97,Customer Needed Attention
6,146,664.11,Top Recent Customer
47,36,147.29,Loyal Customer
1,263,5026.85,Champion
312,19,219.52,Lost Customer
45,99,693.32,Top Loyal Customer
65,23,428.89,Customer Needed Attention
26,27,164.34,Loyal Customer
29,40,276.75,Loyal Customer
40,97,675.51,Top Loyal Customer
12,217,1065.88,Top Recent Customer
89,74,1140.8,Top Customer Needed Attention
24,195,1585.46,Top Loyal Customer
313,24,399.99,Lost Customer
40,44,544.18,Loyal Customer
174,13,177.34,Lost Customer
117,19,213.85,Customer Needed Attention
31,83,652.4,Top Loyal Customer
253,19,257.23,Lost Customer
59,94,1624.02,Top Customer Needed Attention
23,59,7792.36,Top Loyal Customer
5,80,1995.68,Top Recent Customer
100,12,3021.77,Top Customer Needed Attention
25,146,2114.68,Champion
33,186,1547.3600000000001,Top Loyal Customer
68,62,1071.03,Top Customer Needed Attention
37,64,941.62,Top Loyal Customer
52,99,804.3,Top Customer Needed Attention
16,8,122.64,Recent Customer
74,40,1033.34,Top Customer Needed Attention
216,57,312.28,Lost Customer
31,28,519.44,Loyal Customer
9,148,2597.52,Champion
120,5,252.1,Customer Needed Attention
10,79,1640.22,Top Recent Customer
257,23,346.6,Lost Customer
17,98,1809.34,Top Recent Customer
35,6,94.2,Loyal Customer
46,63,1095.08,Top Loyal Customer
43,166,2707.33,Champion
114,56,932.97,Top Customer Needed Attention
165,49,379.65,Lost Customer
11,16,382.14,Recent Customer
10,112,2421.47,Champion
197,107,1540.65,Top Lost Customer
86,57,862.58,Top Customer Needed Attention
179,13,189.47,Lost Customer
60,12,84.65,Customer Needed Attention
149,83,299.05,Lost Customer
3,494,6162.31,Champion
51,9,218.55,Customer Needed Attention
75,25,349.7,Customer Needed Attention
301,16,-71.46,Lost Customer
19,60,387.44,Loyal Customer
151,25,486.82000000000005,Lost Customer
152,16,232.6,Lost Customer
1,215,2199.01,Champion
18,57,827.83,Top Loyal Customer
187,3,59.5,Lost Customer
286,30,62.13,Lost Customer
3,39,3119.44,Top Recent Customer
183,8,72.0,Lost Customer
63,6,910.0,Top Customer Needed Attention
59,9,172.25,Customer Needed Attention
25,55,1466.8700000000001,Top Loyal Customer
325,4,-32.0,Lost Customer
4,584,62690.54,Champion
31,90,2504.13,Top Loyal Customer
39,12,151.29999999999998,Loyal Customer
155,14,308.58000000000004,Lost Customer
26,194,2248.63,Champion
318,1,99.5,Lost Customer
5,135,2295.31,Champion
8,28,711.86,Top Recent Customer
303,20,330.79,Lost Customer
267,48,806.41,Top Lost Customer
271,49,285.33,Lost Customer
4,345,6228.71,Champion
32,8,180.48,Loyal Customer
219,13,252.06,Lost Customer
247,10,228.84,Lost Customer
281,107,1051.99,Top Lost Customer
269,21,138.28,Lost Customer
32,103,1432.26,Top Loyal Customer
246,12,306.55,Lost Customer
15,60,1041.68,Top Recent Customer
117,43,799.9,Top Customer Needed Attention
36,28,524.14,Loyal Customer
120,86,2369.16,Top Customer Needed Attention
217,6,199.85000000000002,Lost Customer
50,118,1809.81,Champion
39,42,1079.6599999999999,Top Loyal Customer
29,20,333.48,Loyal Customer
37,63,1016.14,Top Loyal Customer
136,43,752.6,Top Customer Needed Attention
219,38,610.59,Lost Customer
28,33,491.86,Loyal Customer
25,207,2764.48,Champion
5,193,721.9,Top Recent Customer
200,30,339.59999999999997,Lost Customer
18,3,216.9,Loyal Customer
241,23,350.75,Lost Customer
72,35,666.33,Top Customer Needed Attention
17,315,3079.27,Champion
3,42,1340.1499999999999,Top Recent Customer
95,63,1080.52,Top Customer Needed Attention
151,26,291.54,Lost Customer
374,1,79.6,Lost Customer
96,28,948.25,Top Customer Needed Attention
54,24,1647.26,Top Customer Needed Attention
288,9,296.25,Lost Customer
124,75,1175.38,Top Customer Needed Attention
288,35,741.26,Top Lost Customer
152,12,282.59999999999997,Lost Customer
4,322,2101.39,Champion
2,143,5145.12,Champion
12,117,3190.55,Champion
33,25,659.4100000000001,Top Loyal Customer
54,57,286.79,Customer Needed Attention
50,70,1070.65,Top Loyal Customer
204,14,3.552713678800501e-15,Lost Customer
63,17,1689.46,Top Customer Needed Attention
71,207,1519.42,Top Customer Needed Attention
2,399,16945.71,Champion
2,143,2771.87,Champion
64,120,2631.7,Champion
34,173,1122.63,Top Loyal Customer
82,22,345.0,Customer Needed Attention
1,219,25748.350000000002,Champion
103,9,178.7,Customer Needed Attention
7,57,360.01,Recent Customer
251,17,127.84,Lost Customer
13,113,908.86,Top Recent Customer
10,31,2462.79,Top Recent Customer
367,7,230.39999999999998,Lost Customer
76,31,309.04,Customer Needed Attention
4,45,348.8,Recent Customer
43,17,1047.68,Top Loyal Customer
66,13,195.55,Customer Needed Attention
1,438,36352.87,Champion
117,39,688.86,Top Customer Needed Attention
310,33,558.32,Lost Customer
67,23,324.8,Customer Needed Attention
138,66,3906.27,Top Customer Needed Attention
255,17,277.07,Lost Customer
31,135,2588.39,Champion
52,13,924.6,Top Customer Needed Attention
64,10,256.38,Customer Needed Attention
367,7,112.6,Lost Customer
6,76,1747.66,Top Recent Customer
305,12,155.05,Lost Customer
29,36,899.51,Top Loyal Customer
184,14,591.75,Lost Customer
42,36,539.0,Loyal Customer
40,71,1353.41,Top Loyal Customer
56,58,1562.12,Top Customer Needed Attention
22,177,4014.91,Champion
24,33,555.04,Loyal Customer
29,24,382.98,Loyal Customer
302,36,1140.35,Top Lost Customer
145,59,385.64,Lost Customer
6,96,632.0,Recent Customer
19,40,957.66,Top Loyal Customer
33,46,1698.94,Top Loyal Customer
158,12,174.65,Lost Customer
58,92,409.8,Customer Needed Attention
22,15,209.49,Loyal Customer
359,1,-102.0,Lost Customer
16,72,2198.45,Top Recent Customer
18,4,40.949999999999996,Loyal Customer
159,28,383.85,Lost Customer
25,55,834.57,Top Loyal Customer
212,18,266.59000000000003,Lost Customer
6,165,674.82,Top Recent Customer
253,1,85.0,Lost Customer
59,206,3385.62,Champion
11,20,361.62,Recent Customer
65,9,312.98,Customer Needed Attention
25,58,847.61,Top Loyal Customer
92,5,1255.0,Top Customer Needed Attention
52,101,1537.95,Top Customer Needed Attention
88,94,1586.81,Top Customer Needed Attention
96,81,2651.46,Top Customer Needed Attention
9,24,1056.94,Top Recent Customer
9,114,8025.0199999999995,Champion
169,17,363.4,Lost Customer
57,11,216.17,Customer Needed Attention
326,28,201.16,Lost Customer
1,77,1240.0,Top Recent Customer
18,142,2187.31,Champion
245,22,299.56,Lost Customer
58,30,501.56,Customer Needed Attention
74,7,145.67000000000002,Customer Needed Attention
31,60,1005.09,Top Loyal Customer
7,33,3192.54,Top Recent Customer
123,304,3083.65,Champion
2,118,2751.25,Champion
23,338,6389.8,Champion
120,24,381.7,Customer Needed Attention
358,18,540.45,Lost Customer
54,104,1786.79,Champion
64,7,122.7,Customer Needed Attention
86,3,117.24,Customer Needed Attention
55,35,1271.57,Top Customer Needed Attention
21,165,3219.77,Champion
4,180,16989.52,Champion
3,66,1131.28,Top Recent Customer
1,155,2538.75,Champion
7,60,781.3000000000001,Top Recent Customer
189,28,506.8,Lost Customer
71,16,243.56,Customer Needed Attention
204,19,349.55,Lost Customer
120,39,595.67,Customer Needed Attention
93,15,416.90000000000003,Customer Needed Attention
1,114,1860.8600000000001,Champion
27,27,632.97,Loyal Customer
298,21,821.1,Top Lost Customer
22,30,535.97,Loyal Customer
21,119,2588.12,Champion
50,17,311.16,Loyal Customer
326,12,155.93,Lost Customer
16,19,388.52,Recent Customer
183,43,740.95,Top Lost Customer
72,149,2867.2,Champion
37,26,332.64,Loyal Customer
80,126,2347.05,Champion
57,148,2580.91,Champion
4,34,613.95,Recent Customer
50,18,272.04,Loyal Customer
50,30,1212.8400000000001,Top Loyal Customer
53,33,350.15999999999997,Customer Needed Attention
352,7,172.25,Lost Customer
54,20,351.13,Customer Needed Attention
2,137,1682.08,Champion
36,45,616.65,Loyal Customer
23,11,223.85000000000002,Loyal Customer
75,21,348.99,Customer Needed Attention
11,27,464.57,Recent Customer
169,10,802.85,Top Lost Customer
58,17,337.34,Customer Needed Attention
86,59,1230.93,Top Customer Needed Attention
295,16,307.4,Lost Customer
109,23,608.7900000000001,Customer Needed Attention
264,31,922.1,Top Lost Customer
171,27,361.28,Lost Customer
169,9,158.85,Lost Customer
35,7,71.66,Loyal Customer
23,46,556.75,Loyal Customer
17,49,839.14,Top Recent Customer
22,47,4912.41,Top Loyal Customer
79,11,561.5699999999999,Customer Needed Attention
65,5,90.6,Customer Needed Attention
361,3,102.0,Lost Customer
3,160,2427.32,Champion
11,36,728.56,Top Recent Customer
176,39,674.45,Top Lost Customer
211,138,3246.091,Top Lost Customer
7,20,3515.68,Top Recent Customer
2,30,378.59,Recent Customer
154,33,322.96,Lost Customer
5,147,1019.27,Top Recent Customer
372,5,-102.45,Lost Customer
79,90,594.04,Customer Needed Attention
21,12,230.22,Loyal Customer
22,11,169.55,Loyal Customer
308,35,664.54,Top Lost Customer
146,2,80.7,Lost Customer
7,626,8956.92,Champion
9,158,2702.2200000000003,Champion
71,15,190.25,Customer Needed Attention
287,11,264.7,Lost Customer
49,28,413.59000000000003,Loyal Customer
31,331,2438.19,Champion
207,10,357.98,Lost Customer
15,15,196.79000000000002,Recent Customer
73,54,869.87,Top Customer Needed Attention
60,11,200.14,Customer Needed Attention
39,115,1861.11,Champion
30,112,2590.46,Champion
27,17,488.03,Loyal Customer
4,353,7024.53,Champion
17,13,320.46,Recent Customer
20,239,4098.8,Champion
66,41,1266.08,Top Customer Needed Attention
213,16,311.3,Lost Customer
12,84,847.54,Top Recent Customer
30,5,76.8,Loyal Customer
32,125,3409.66,Champion
4,148,2274.14,Champion
15,87,1383.49,Top Recent Customer
10,212,3865.26,Champion
206,16,633.71,Lost Customer
46,40,2030.3300000000002,Top Loyal Customer
134,47,529.73,Customer Needed Attention
43,171,4582.64,Champion
10,84,2874.72,Top Recent Customer
116,30,962.19,Top Customer Needed Attention
198,44,685.9300000000001,Top Lost Customer
278,11,328.8,Lost Customer
110,34,473.02,Customer Needed Attention
77,39,505.18,Customer Needed Attention
53,20,917.34,Top Customer Needed Attention
154,162,4328.46,Top Lost Customer
47,68,1398.96,Top Loyal Customer
17,39,642.8,Recent Customer
155,22,631.9,Lost Customer
225,28,440.0,Lost Customer
7,31,584.07,Recent Customer
122,16,327.7,Customer Needed Attention
61,6,104.82,Customer Needed Attention
63,15,467.66,Customer Needed Attention
18,242,2358.84,Champion
7,258,14634.640000000001,Champion
2,152,2929.84,Champion
22,89,509.09,Loyal Customer
29,66,1428.02,Top Loyal Customer
285,38,626.65,Lost Customer
176,28,147.20000000000002,Lost Customer
78,93,1554.48,Top Customer Needed Attention
33,6,152.2,Loyal Customer
41,235,3487.59,Champion
266,21,141.41,Lost Customer
27,206,646.42,Top Loyal Customer
109,6,1659.75,Top Customer Needed Attention
284,14,154.99,Lost Customer
9,34,1290.01,Top Recent Customer
277,88,375.13,Lost Customer
17,495,5536.15,Champion
32,54,746.36,Top Loyal Customer
1,215,15477.34,Champion
20,56,225.36,Loyal Customer
124,4,260.25,Customer Needed Attention
65,6,92.46,Customer Needed Attention
106,10,725.6400000000001,Top Customer Needed Attention
1,1110,8062.46,Champion
24,290,6141.099999999999,Champion
267,8,183.6,Lost Customer
5,203,6135.38,Champion
10,111,10464.85,Champion
29,79,1168.92,Top Loyal Customer
267,7,152.55,Lost Customer
64,52,374.7,Customer Needed Attention
320,24,265.85,Lost Customer
4,332,1306.16,Top Recent Customer
21,14,139.54,Loyal Customer
5,43,942.26,Top Recent Customer
129,44,118.67,Customer Needed Attention
41,42,499.41999999999996,Loyal Customer
102,65,1049.37,Top Customer Needed Attention
125,12,375.1,Customer Needed Attention
33,4,45.599999999999994,Loyal Customer
267,153,891.77,Top Lost Customer
365,29,182.25,Lost Customer
4,177,1002.9,Top Recent Customer
2,449,4408.54,Champion
3,69,178.72,Recent Customer
10,590,50415.49,Champion
57,13,158.75,Customer Needed Attention
325,1,76.32000000000001,Lost Customer
8,217,4063.1,Champion
12,100,433.86,Recent Customer
4,5128,57120.909999999996,Champion
37,21,147.35,Loyal Customer
16,252,3092.9700000000003,Champion
138,25,191.95000000000002,Customer Needed Attention
74,35,5976.79,Top Customer Needed Attention
5,63,1060.33,Top Recent Customer
155,21,216.20999999999998,Lost Customer
85,76,1260.33,Top Customer Needed Attention
52,124,2688.48,Champion
31,35,594.16,Loyal Customer
23,14,80.2,Loyal Customer
4,157,5669.65,Champion
14,11,688.6,Top Recent Customer
23,173,2774.17,Champion
4,40,1377.92,Top Recent Customer
274,15,386.53,Lost Customer
20,72,1382.74,Top Loyal Customer
144,3,90.0,Lost Customer
354,1,-19.9,Lost Customer
4,161,2740.3,Champion
84,5,419.58000000000004,Customer Needed Attention
11,166,2720.63,Champion
8,16,643.6300000000001,Recent Customer
123,44,709.71,Top Customer Needed Attention
61,46,637.5,Customer Needed Attention
2,52,1123.8600000000001,Top Recent Customer
319,66,480.91,Lost Customer
2,201,3580.13,Champion
130,30,590.3399999999999,Customer Needed Attention
2,134,4690.31,Champion
2,46,965.8800000000001,Top Recent Customer
46,26,415.82,Loyal Customer
4,67,920.05,Top Recent Customer
3,46,879.0300000000001,Top Recent Customer
373,22,311.81,Lost Customer
134,7,115.8,Customer Needed Attention
47,12,3148.2,Top Loyal Customer
9,245,2949.57,Champion
49,6,468.4,Loyal Customer
234,3,157.2,Lost Customer
213,40,259.43,Lost Customer
36,26,658.64,Top Loyal Customer
75,50,611.09,Customer Needed Attention
239,52,1345.62,Top Lost Customer
266,6,118.75,Lost Customer
10,1415,113214.59,Champion
20,47,392.44,Loyal Customer
40,41,507.66,Loyal Customer
20,1183,4615.64,Champion
216,104,1097.6200000000001,Top Lost Customer
174,25,289.36,Lost Customer
87,52,2445.91,Top Customer Needed Attention
71,29,1631.77,Top Customer Needed Attention
276,24,120.44,Lost Customer
39,50,562.59,Loyal Customer
98,58,363.79,Customer Needed Attention
11,29,450.84,Recent Customer
33,26,134.46,Loyal Customer
51,164,3108.06,Champion
297,32,574.0,Lost Customer
85,42,544.51,Customer Needed Attention
9,318,1600.26,Top Recent Customer
41,157,701.57,Top Loyal Customer
11,248,4640.77,Champion
67,24,452.89,Customer Needed Attention
331,3,197.65,Lost Customer
9,71,2018.91,Top Recent Customer
2,277,4604.31,Champion
2,263,4660.01,Champion
68,42,853.39,Top Customer Needed Attention
5,604,11216.75,Champion
202,8,962.7,Top Lost Customer
107,6,335.52,Customer Needed Attention
4,44,663.5,Top Recent Customer
218,2,185.39999999999998,Lost Customer
60,39,688.04,Top Customer Needed Attention
2,39,150.61,Recent Customer
11,39,218.78,Recent Customer
239,21,308.26,Lost Customer
95,10,151.74,Customer Needed Attention
11,88,2067.13,Top Recent Customer
91,103,1900.89,Champion
53,118,2208.3,Champion
90,9,1070.48,Top Customer Needed Attention
372,5,-1192.2,Lost Customer
31,70,1000.23,Top Loyal Customer
12,109,1777.92,Champion
3,59,1839.3,Top Recent Customer
2,107,1925.3600000000001,Champion
43,12,169.48000000000002,Loyal Customer
4,7,89.94,Recent Customer
247,21,632.4,Lost Customer
42,194,3427.85,Champion
177,41,683.17,Top Lost Customer
92,61,975.23,Top Customer Needed Attention
110,113,1009.73,Top Customer Needed Attention
29,72,2184.2400000000002,Top Loyal Customer
26,183,3315.71,Champion
52,43,1450.6,Top Customer Needed Attention
179,54,822.0600000000001,Top Lost Customer
32,118,2043.93,Champion
44,36,1447.51,Top Loyal Customer
22,147,754.12,Top Loyal Customer
10,80,3093.86,Top Recent Customer
81,15,490.86,Customer Needed Attention
373,9,161.0,Lost Customer
326,8,146.85,Lost Customer
43,116,2323.5,Champion
30,42,890.34,Top Loyal Customer
184,10,213.70000000000002,Lost Customer
235,16,280.55,Lost Customer
9,148,2535.88,Champion
176,112,1677.48,Top Lost Customer
111,75,1474.06,Top Customer Needed Attention
278,20,136.76999999999998,Lost Customer
318,8,302.58,Lost Customer
7,111,1904.05,Champion
2,78,2879.7000000000003,Top Recent Customer
254,54,935.0600000000001,Top Lost Customer
51,107,3087.27,Champion
9,112,12650.08,Champion
142,5,120.0,Customer Needed Attention
51,52,1163.45,Top Customer Needed Attention
8,143,2618.23,Champion
155,19,319.47,Lost Customer
109,31,530.18,Customer Needed Attention
151,66,1279.09,Top Lost Customer
332,29,492.65000000000003,Lost Customer
226,10,112.32,Lost Customer
74,33,437.96,Customer Needed Attention
51,29,559.97,Customer Needed Attention
88,75,1019.39,Top Customer Needed Attention
15,225,3928.8,Champion
197,8,134.04,Lost Customer
3,154,3701.44,Champion
31,34,578.45,Loyal Customer
21,27,1910.01,Top Loyal Customer
24,285,4595.81,Champion
8,11,151.23000000000002,Recent Customer
212,17,413.85,Lost Customer
9,47,911.26,Top Recent Customer
11,103,2307.4500000000003,Champion
2,238,3873.3,Champion
8,108,4819.33,Champion
3,61,1046.56,Top Recent Customer
40,7,154.70000000000002,Loyal Customer
18,64,1284.06,Top Loyal Customer
3,1640,50862.44,Champion
8,162,2855.35,Champion
19,3,43.2,Loyal Customer
108,16,632.04,Customer Needed Attention
223,27,197.1,Lost Customer
71,110,1803.76,Champion
51,35,2083.42,Top Customer Needed Attention
89,180,2995.72,Champion
8,123,2319.68,Champion
225,27,229.71,Lost Customer
47,87,1611.59,Top Loyal Customer
107,8,120.0,Customer Needed Attention
21,104,2456.98,Champion
65,24,508.58000000000004,Customer Needed Attention
207,42,343.11,Lost Customer
11,123,1530.75,Top Recent Customer
115,41,574.26,Customer Needed Attention
235,9,166.85,Lost Customer
163,12,311.65,Lost Customer
9,268,4889.14,Champion
124,28,462.65999999999997,Customer Needed Attention
23,25,840.21,Top Loyal Customer
64,19,351.45,Customer Needed Attention
17,163,2539.46,Champion
16,60,454.86,Recent Customer
17,90,1614.91,Top Recent Customer
158,34,554.22,Lost Customer
235,18,289.90999999999997,Lost Customer
219,6,134.7,Lost Customer
45,129,2151.08,Champion
21,24,607.71,Loyal Customer
127,71,889.9300000000001,Top Customer Needed Attention
39,6,108.97999999999999,Loyal Customer
121,60,1021.58,Top Customer Needed Attention
260,18,409.57,Lost Customer
10,31,133.5,Recent Customer
271,21,258.7,Lost Customer
165,1,51.0,Lost Customer
157,47,1078.96,Top Lost Customer
215,6,90.6,Lost Customer
6,9,163.62,Recent Customer
366,11,174.4,Lost Customer
60,38,666.9399999999999,Top Customer Needed Attention
43,40,225.12,Loyal Customer
19,58,882.58,Top Loyal Customer
32,117,2118.03,Champion
22,37,151.5,Loyal Customer
109,69,3717.35,Top Customer Needed Attention
8,530,9134.12,Champion
320,8,155.0,Lost Customer
295,4,100.5,Lost Customer
358,4,76.55,Lost Customer
185,66,235.56,Lost Customer
191,11,617.05,Lost Customer
44,46,348.1,Loyal Customer
52,56,202.68,Customer Needed Attention
26,126,615.49,Loyal Customer
38,59,1247.69,Top Loyal Customer
9,14,202.11,Recent Customer
297,7,142.4,Lost Customer
33,139,1727.6,Champion
9,191,3172.04,Champion
9,62,999.72,Top Recent Customer
10,289,4582.22,Champion
218,5,67.95,Lost Customer
2,351,3444.11,Champion
65,73,487.99,Customer Needed Attention
1,95,2556.68,Top Recent Customer
141,26,559.7,Customer Needed Attention
4,183,4039.98,Champion
130,26,1426.31,Top Customer Needed Attention
34,101,1409.72,Top Loyal Customer
119,8,156.75,Customer Needed Attention
107,76,2111.08,Top Customer Needed Attention
11,106,2599.03,Champion
71,55,1908.25,Top Customer Needed Attention
16,282,573.45,Recent Customer
311,14,1063.0,Top Lost Customer
35,45,761.3299999999999,Top Loyal Customer
362,22,121.05,Lost Customer
92,98,1485.1299999999999,Top Customer Needed Attention
1,601,5766.85,Champion
22,14,490.22,Loyal Customer
4,124,1937.25,Champion
11,202,1051.79,Top Recent Customer
85,30,385.87,Customer Needed Attention
57,27,813.11,Top Customer Needed Attention
1,222,4263.64,Champion
218,3,265.2,Lost Customer
18,1,322.08,Loyal Customer
19,264,3918.9,Champion
50,17,363.34000000000003,Loyal Customer
7,141,1209.3700000000001,Top Recent Customer
299,21,423.26,Lost Customer
10,377,2248.5,Champion
22,12,1372.8,Top Loyal Customer
99,9,89.06,Customer Needed Attention
143,6,-43.400000000000006,Customer Needed Attention
306,9,131.9,Lost Customer
320,32,2661.24,Top Lost Customer
8,55,2357.6800000000003,Top Recent Customer
1,59,1545.14,Top Recent Customer
2,68,1544.62,Top Recent Customer
54,98,1400.88,Top Customer Needed Attention
1,277,1010.35,Top Recent Customer
19,70,1163.23,Top Loyal Customer
9,20,375.35,Recent Customer
19,250,885.8,Top Loyal Customer
181,40,483.25,Lost Customer
60,105,643.9,Customer Needed Attention
11,60,259.05,Recent Customer
190,22,119.93,Lost Customer
5,954,3002.5099999999998,Champion
311,4,113.64,Lost Customer
155,37,1837.92,Top Lost Customer
110,17,383.34,Customer Needed Attention
148,180,2103.06,Top Lost Customer
64,239,1942.45,Champion
98,6,529.62,Customer Needed Attention
247,123,1038.44,Top Lost Customer
29,72,2272.4,Top Loyal Customer
18,89,596.26,Loyal Customer
12,43,461.19,Recent Customer
104,265,1852.67,Champion
74,7,234.34000000000003,Customer Needed Attention
43,30,537.71,Loyal Customer
72,47,799.82,Top Customer Needed Attention
257,17,193.0,Lost Customer
20,11,1307.81,Top Loyal Customer
254,18,316.25,Lost Customer
11,13,279.05,Recent Customer
165,30,636.51,Lost Customer
18,137,2022.81,Champion
150,10,129.2,Lost Customer
50,14,321.92,Loyal Customer
39,46,162.8,Loyal Customer
27,141,1152.73,Top Loyal Customer
51,49,1047.43,Top Customer Needed Attention
207,30,463.38,Lost Customer
175,17,340.93,Lost Customer
7,123,2362.84,Champion
26,7,139.56,Loyal Customer
51,6,123.8,Customer Needed Attention
312,19,538.8100000000001,Lost Customer
301,31,457.47,Lost Customer
43,193,1957.32,Champion
26,190,808.44,Top Loyal Customer
88,7,356.85,Customer Needed Attention
64,12,190.31,Customer Needed Attention
20,615,2310.18,Champion
3,164,3543.26,Champion
47,107,673.26,Top Loyal Customer
17,789,5772.49,Champion
17,295,1960.65,Champion
24,97,1352.88,Top Loyal Customer
22,55,268.05,Loyal Customer
11,71,1267.4099999999999,Top Recent Customer
188,23,275.28,Lost Customer
101,18,438.49,Customer Needed Attention
61,69,990.2,Top Customer Needed Attention
18,98,2076.89,Top Loyal Customer
33,18,330.45,Loyal Customer
64,16,174.37,Customer Needed Attention
2,4,270.6,Recent Customer
24,17,974.54,Top Loyal Customer
108,12,241.09,Customer Needed Attention
32,197,1843.83,Champion
9,289,4105.07,Champion
3,1010,7709.69,Champion
37,18,364.21999999999997,Loyal Customer
60,213,578.61,Customer Needed Attention
26,213,2862.11,Champion
236,64,932.85,Top Lost Customer
25,65,1812.6200000000001,Top Loyal Customer
3,547,4025.6,Champion
59,331,2831.7400000000002,Champion
260,18,170.95,Lost Customer
58,10,355.56,Customer Needed Attention
65,19,388.25,Customer Needed Attention
16,32,537.48,Recent Customer
10,71,952.66,Top Recent Customer
59,105,1453.35,Top Customer Needed Attention
186,5,103.25,Lost Customer
4,105,2916.17,Champion
24,111,2004.3,Champion
4,415,2482.86,Champion
4,356,3953.9500000000003,Champion
151,4,652.8,Top Lost Customer
311,56,289.24,Lost Customer
11,47,757.37,Top Recent Customer
18,10,186.23,Loyal Customer
152,57,164.22,Lost Customer
19,113,859.27,Top Loyal Customer
10,203,2279.4900000000002,Champion
57,19,312.54,Customer Needed Attention
64,32,0.0,Customer Needed Attention
7,76,2174.18,Top Recent Customer
76,69,1080.76,Top Customer Needed Attention
4,441,4676.62,Champion
96,129,3073.77,Champion
111,4,1432.0,Top Customer Needed Attention
35,34,1524.46,Top Loyal Customer
1,12,227.39,Recent Customer
281,29,218.06,Lost Customer
3,265,2775.39,Champion
180,233,1590.12,Top Lost Customer
372,1,35.400000000000006,Lost Customer
13,123,859.71,Top Recent Customer
3,24,168.63,Recent Customer
17,17,138.6,Recent Customer
41,6,114.11,Loyal Customer
6,302,986.96,Top Recent Customer
